cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength,cement_to_water_ratio,superplasticizer_to_water_ratio,fine_aggregate_to_water_ratio,cement_to_fly_ash_ratio,superplasticizer_to_fly_ash_ratio,age_squared
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.98611076,3.3333333333333335,0.015432098765432098,4.172839506172839,0.0,0.0,784.0
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.88736576,3.3333333333333335,0.015432098765432098,4.172839506172839,0.0,0.0,784.0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.269535256,1.4583333333333333,0.0,2.6052631578947367,0.0,,72900.0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992,1.4583333333333333,0.0,2.6052631578947367,0.0,,133225.0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.296075096,1.034375,0.0,4.299479166666667,0.0,,129600.0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.029847436,1.1666666666666667,0.0,2.93859649122807,0.0,,8100.0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404,1.6666666666666667,0.0,2.6052631578947367,0.0,,133225.0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.447769788,1.6666666666666667,0.0,2.6052631578947367,0.0,,784.0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.854290856,1.1666666666666667,0.0,2.93859649122807,0.0,,784.0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.28978986,2.0833333333333335,0.0,2.6052631578947367,0.0,,784.0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.074243672,1.034375,0.0,4.299479166666667,0.0,,8100.0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.021683592,1.034375,0.0,4.299479166666667,0.0,,784.0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01296026,1.875,0.0,2.6052631578947367,0.0,,72900.0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.32693164,0.8333333333333334,0.0,2.93859649122807,0.0,,8100.0
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.813781648,1.3333333333333333,0.0,2.93859649122807,0.0,,784.0
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.908319812,1.6666666666666667,0.0,2.93859649122807,0.0,,8100.0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.358047984,0.7270833333333333,0.0,4.202604166666666,0.0,,8100.0
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.141962252,1.5,0.0,2.93859649122807,0.0,,133225.0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.563252032,1.6666666666666667,0.0,2.6052631578947367,0.0,,8100.0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.620648416,2.0833333333333335,0.0,2.6052631578947367,0.0,,32400.0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.836714204,1.875,0.0,2.6052631578947367,0.0,,32400.0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.23748958,0.7270833333333333,0.0,4.202604166666666,0.0,,784.0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3.0,8.06342182,0.7270833333333333,0.0,4.202604166666666,0.0,,9.0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.207822168,0.7270833333333333,0.0,4.202604166666666,0.0,,32400.0
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.516697444,1.6666666666666667,0.0,2.93859649122807,0.0,,133225.0
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.300631656,1.6666666666666667,0.0,2.93859649122807,0.0,,72900.0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15137506,1.6666666666666667,0.0,2.6052631578947367,0.0,,72900.0
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.1243856,1.5,0.0,2.93859649122807,0.0,,32400.0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.427515184,1.875,0.0,2.6052631578947367,0.0,,784.0
