cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength
316.1,147.2,185.0,143.3,16.5,938.0,884.0,nan,38.728589296489716
153.0,230.5,98.75,184.0,9.73,941.0,670.0,1.0,52.48546431334968
290.2,102.0,158.0,170.17,9.61,932.0,734.3,90.0,59.702571539250506
229.68,259.7,87.0,175.6,6.72,1057.6,734.0,270.0,50.98861562263741
250.0,145.0,143.2,201.7,15.6,987.76,728.0,28.0,49.353464470078976
500.1,114.6,179.0,170.0,8.6,1038.0,674.3,365.0,48.43677034303026
238.0,143.0,141.0,188.6,12.7,1060.0,665.6,120.0,73.73375124612042
212.52,243.5,100.39,164.77,7.0,958.2,839.2,7.0,73.74818209924062
150.7,151.2,152.0,181.0,9.2,829.0,852.1,91.0,43.08512460459245
277.19,11.0,99.6,193.0,9.0,870.0,821.0,90.0,36.074703933367324
164.2,100.5,141.6,158.11,7.79,985.8,770.1,91.0,21.771861304235063
280.0,13.61,100.39,177.4,12.25,828.7,804.0,90.0,63.98671351985092
298.0,209.4,112.0,146.14,3.1,1059.4,656.0,100.0,73.51777335498578
446.0,145.0,172.37,146.0,8.92,854.0,643.0,90.0,28.06672551495047
212.07,214.0,142.0,153.5,7.48,878.0,758.59,100.0,19.273522688465206
505.0,110.5,142.7,219.7,10.6,949.91,707.9,56.0,46.90709315367283
333.0,160.5,124.25,167.0,11.61,970.4,676.0,1.0,38.42522881253082
382.0,47.5,134.0,163.81,13.0,1086.8,815.0,270.0,61.11180246777754
255.5,342.1,141.0,167.9,20.8,1056.4,847.01,3.0,40.3575758712117
249.1,119.0,89.0,166.6,9.03,895.0,712.9,7.0,57.70002138566298
307.0,15.0,124.78,166.6,7.56,990.0,757.0,14.0,45.16843030452269
250.0,189.2,185.0,158.0,10.37,1145.0,794.0,360.0,62.84109844117496
147.8,250.2,86.0,147.4,5.5,973.9,885.0,14.0,27.131044943225465
522.0,42.22,95.0,220.1,20.8,1007.2,781.2,28.0,46.916582905724006
139.6,143.0,124.13,127.3,3.93,946.5,844.0,120.0,40.55057833745337
277.0,119.7,128.0,180.0,7.91,897.7,817.0,1.0,37.2284032799782
143.6,164.2,118.6,151.4,5.2,904.0,868.0,270.0,34.20542119711667
157.0,210.2,125.4,158.33,12.2,943.0,656.0,7.0,49.503874151057325
277.19,122.6,96.67,159.0,7.9,1058.7,880.4,360.0,45.2384296532559
152.6,26.0,127.7,164.77,12.1,889.8,785.3,3.0,50.70815739163308
150.9,143.0,106.7,170.17,15.6,882.0,636.0,90.0,29.57868388085647
173.81,161.6,138.0,170.6,15.3,1022.0,875.61,7.0,44.525974590079855
142.0,117.0,136.0,163.81,4.46,971.0,749.3,100.0,28.869010668891892
332.5,118.0,125.4,181.74,9.2,1076.2,828.0,270.0,67.27732441665806
260.0,38.0,115.6,162.0,28.2,882.6,785.52,56.0,69.65681242475057
250.0,26.0,95.69,181.71,11.1,878.2,942.0,7.0,85.15805326650744
167.95,166.8,118.16,195.0,11.33,1012.0,840.5,1.0,53.185202231531726
164.2,169.6,123.0,168.0,0.0,1088.0,744.0,180.0,25.492589579828625
273.0,124.1,174.24,166.6,5.2,1022.0,754.0,360.0,16.22930192792191
322.0,169.4,112.3,188.45,6.0,923.0,704.0,91.0,68.56633661728566
525.0,282.8,90.0,171.2,8.9,909.7,759.3,14.0,23.55264013230264
262.0,132.4,86.0,165.62,6.35,1047.0,798.9,365.0,54.45137500672432
290.2,174.0,174.74,163.6,9.73,1053.5,659.9,360.0,19.085755037126155
149.5,11.0,123.0,170.21,5.33,887.0,762.9,7.0,78.02885683187635
330.5,200.0,161.0,154.61,8.8,1002.0,680.0,28.0,64.56969726826075
272.8,180.0,98.0,185.7,10.4,887.0,812.0,91.0,16.801932404091527
298.1,26.0,133.0,170.17,9.61,1030.0,697.0,120.0,71.39934435910678
380.0,153.0,158.0,154.0,18.6,859.0,741.0,28.0,42.39222208043914
325.0,129.9,0.0,191.6,4.63,955.14,762.9,100.0,78.64733512948303
140.0,214.0,174.9,158.33,11.66,977.6,771.9,3.0,51.36412432089914
167.35,145.3,143.57,188.45,16.5,991.0,875.61,7.0,13.523878316271624
193.5,100.0,125.08,154.79,11.91,1033.0,790.0,14.0,42.54079465895319
279.8,212.5,95.64,181.2,11.9,916.6,614.0,120.0,49.417857396356155
290.35,76.0,100.0,220.1,5.7,971.8,903.59,56.0,40.56535606583993
313.0,106.3,148.0,164.03,6.13,1023.3,744.3,270.0,21.575273833707758
133.0,137.0,100.4,177.6,5.75,801.1,785.38,3.0,14.693402732837233
500.1,166.8,107.0,143.3,4.46,961.0,643.0,56.0,32.060651939914365
212.57,112.0,121.62,144.7,8.26,1090.0,695.0,180.0,70.80467628937416
387.0,98.8,183.9,155.63,32.2,908.0,712.9,180.0,38.00792743555298
310.0,190.1,167.0,176.46,18.0,949.91,788.9,7.0,57.146486682629
259.9,120.5,200.1,179.6,6.35,852.1,856.4,91.0,48.16097369860127
141.3,163.0,100.39,154.61,3.93,920.0,660.0,1.0,46.20424835012468
246.83,187.0,121.89,181.6,5.46,917.0,822.2,7.0,27.680518574214364
380.0,149.0,82.0,178.8,6.0,1104.0,757.0,360.0,42.488755643602
218.85,183.4,175.0,237.0,12.1,991.0,623.0,365.0,49.411882827017365
261.0,163.0,106.2,160.0,11.0,892.4,690.0,100.0,76.03032491672082
387.0,114.0,121.89,195.7,9.5,1088.0,744.0,7.0,80.39692614230994
400.0,259.7,132.6,213.0,7.84,827.0,789.0,180.0,56.5946905257881
148.5,133.7,125.4,220.0,11.64,1060.0,696.0,100.0,20.931990684495865
229.97,132.4,165.7,197.0,28.2,898.0,800.89,120.0,34.98073879714155
184.0,288.0,119.8,162.0,3.93,860.0,800.1,360.0,42.45001823241371
151.0,112.3,121.97,160.0,9.8,904.0,880.0,365.0,18.08347740345808
375.0,151.2,97.0,163.0,9.41,1145.0,844.0,91.0,61.995872321165564
152.6,210.2,98.75,175.6,10.4,1061.0,781.0,28.0,45.357534036641354
222.36,97.0,90.3,179.0,11.6,998.0,754.0,1.0,46.53482700793636
446.0,193.5,103.3,143.3,7.0,1013.0,804.0,7.0,29.92378781494301
158.8,153.0,123.78,172.0,9.0,961.0,764.3,180.0,59.86170922472478
331.0,86.0,121.62,145.0,5.5,922.6,636.0,120.0,80.12648624473303
424.0,129.9,125.8,175.5,11.5,940.0,822.2,28.0,68.34322864903102
229.97,98.06,200.0,173.0,6.4,864.0,761.0,7.0,28.22207977003616
298.1,166.4,167.0,178.8,7.48,986.0,757.63,100.0,33.160948327070386
261.9,172.6,119.8,175.5,11.0,904.0,761.0,91.0,64.00878527974076
210.7,137.2,91.0,221.0,6.2,838.4,692.6,180.0,42.6414899784439
250.0,162.0,184.0,195.7,1.9,929.8,789.3,56.0,27.98922987807865
322.2,128.0,142.8,171.54,15.6,999.7,824.0,28.0,61.699360273931084
265.0,342.1,94.58,175.46,3.4,1091.4,817.0,3.0,47.949566424591914
261.9,97.0,79.0,170.17,4.46,949.91,900.9,270.0,46.89527766488581
355.9,214.0,93.9,157.0,9.8,867.0,694.6,360.0,40.225863237867756
218.23,173.0,163.27,190.7,6.13,942.0,781.2,14.0,74.729823019785
299.8,169.0,174.24,147.4,9.88,879.6,815.2,3.0,59.994656208149756
202.0,239.0,138.0,174.8,1.72,1006.3,704.3,56.0,30.570743037318415
222.36,147.2,86.0,173.96,8.19,919.0,829.0,91.0,24.747788314081262
350.0,282.8,125.4,164.0,5.53,909.7,643.0,14.0,38.071935133570584
491.0,155.5,182.0,200.3,6.0,1056.0,820.0,14.0,29.64901758211017
491.0,11.0,71.5,191.6,9.52,868.6,623.0,28.0,46.3161710616817
307.0,151.2,150.0,195.7,9.0,1004.6,804.01,56.0,40.00786037011532
151.8,174.0,128.62,159.21,11.91,1022.8,643.5,360.0,38.136634801746155
380.0,184.0,122.0,185.8,18.6,1028.4,613.2,14.0,28.216567649465244
155.2,160.5,125.18,193.3,6.1,953.4,705.2,360.0,77.61677765018865
255.0,53.8,127.7,183.8,7.56,849.0,712.9,28.0,38.5066222109711
380.0,183.4,194.9,159.35,13.93,1030.0,794.91,100.0,29.67688735669121
153.6,173.0,121.62,167.5,9.61,1125.0,699.0,180.0,45.64437155671383
139.6,183.4,133.6,221.0,12.0,904.0,735.6,14.0,62.12163664983233
133.0,97.1,190.0,189.29,2.0,938.2,763.0,270.0,49.20027416199803
321.0,188.0,82.0,181.9,9.88,968.0,852.1,7.0,74.63142644491938
190.34,190.0,94.58,220.1,9.41,1012.0,674.8,28.0,13.639974255616188
475.0,272.8,118.6,181.4,10.9,991.0,867.7,14.0,30.97331229972286
266.0,243.5,126.0,195.0,3.93,1088.1,657.9,7.0,73.216015500025
265.0,119.0,163.83,195.47,8.5,1076.2,779.32,120.0,48.473259668583836
172.38,143.0,139.0,173.8,3.93,1052.3,692.6,120.0,83.73598959711379
336.5,99.0,184.0,181.2,8.9,941.6,699.0,28.0,65.15557432095812
251.81,166.8,124.13,246.9,5.0,1134.3,868.7,1.0,22.123642250420207
376.0,236.0,0.0,183.0,12.1,819.2,780.65,56.0,21.367430771083846
246.83,210.7,143.2,187.6,0.0,968.0,842.6,7.0,58.51279173439325
164.6,145.0,132.6,155.63,15.9,968.0,875.61,28.0,9.904689277191814
285.0,86.0,128.62,170.1,6.3,996.0,758.59,270.0,31.215880701034283
218.85,153.0,100.0,153.5,11.83,931.3,780.65,7.0,20.69561278735855
331.0,47.5,133.0,156.76,9.73,974.0,796.15,91.0,22.311748015173073
220.8,166.4,142.7,172.34,19.0,1052.3,863.0,56.0,68.02727786195562
143.6,200.9,161.0,172.34,9.0,897.7,643.0,90.0,36.64530478464502
154.8,98.06,86.5,186.66,7.8,1053.5,675.0,56.0,32.51034215482929
321.0,170.2,174.24,180.3,7.77,896.0,779.32,365.0,11.384555304936235
380.0,149.0,0.0,141.8,18.6,1055.6,676.0,28.0,37.59319191534488
173.0,206.5,106.2,121.75,9.45,1055.6,763.0,100.0,46.08485189655747
288.4,116.8,163.83,193.8,8.8,1004.6,684.0,14.0,21.1159088807104
289.0,163.9,0.0,195.4,7.5,1056.0,694.1,28.0,57.112221206635844
277.0,141.3,90.0,161.85,5.46,1014.3,884.0,120.0,47.921399148514375
133.0,75.4,100.39,153.5,5.69,1074.0,679.7,3.0,25.694273359244292
424.0,144.0,150.4,145.9,12.1,1119.0,785.6,3.0,64.88609595107049
385.0,53.8,132.1,154.61,9.6,1001.8,852.16,91.0,46.90459079845265
143.8,149.0,121.62,181.74,12.25,1113.0,717.8,28.0,61.407221805027405
150.9,129.9,127.7,180.0,8.9,998.0,641.0,100.0,69.96477586378106
380.0,136.3,174.24,159.35,8.9,935.0,992.6,7.0,51.24253136906727
374.0,188.0,127.7,186.0,8.19,835.0,806.2,56.0,79.4540958025637
144.0,134.0,24.52,172.34,10.0,940.6,722.5,270.0,76.6494376703424
304.0,99.0,99.94,179.94,11.1,887.0,688.7,100.0,23.755025327510864
192.0,42.08,190.0,203.5,9.41,953.0,806.0,3.0,62.351018179586845
184.0,156.0,0.0,146.0,12.8,1005.8,631.0,270.0,43.328850773475864
236.0,15.0,137.0,180.31,11.33,1006.3,821.4,7.0,41.249489116600074
505.0,119.7,71.0,197.0,11.7,1118.0,657.0,90.0,38.35982572918079
387.0,153.0,100.52,200.3,10.0,1053.6,945.0,3.0,30.682308757216113
151.0,98.8,82.0,157.9,6.7,1111.0,739.0,90.0,27.244077516912476
236.9,190.1,78.0,175.1,4.49,811.0,685.0,14.0,43.07866994788844
261.9,26.0,174.24,185.0,2.5,942.0,871.8,90.0,29.515867416967637
153.0,170.2,76.0,196.0,2.5,864.5,805.3,3.0,56.67155409327068
133.0,135.7,112.3,174.0,4.49,838.1,697.0,360.0,36.45311513570223
326.0,209.0,150.4,126.6,8.4,1069.3,796.15,91.0,63.429281464069405
255.3,116.0,93.9,193.3,12.1,1006.3,899.76,120.0,80.19969793702562
336.0,157.0,107.0,170.0,14.32,887.0,770.0,100.0,44.481104102620236
323.7,101.0,164.0,180.0,16.5,1066.0,759.0,180.0,45.89756801475892
469.0,203.5,24.52,209.7,6.35,936.2,695.9,28.0,57.197652118693306
147.0,290.2,141.0,121.75,7.48,999.7,861.17,100.0,47.00940752142465
162.0,190.0,24.46,220.0,7.5,1030.0,845.0,180.0,58.002986092279016
425.0,15.0,86.0,187.6,11.3,882.0,850.0,28.0,59.87329598715634
540.0,282.8,183.9,181.9,7.48,853.0,884.0,180.0,57.21043952957346
237.5,76.0,113.2,200.0,11.99,968.0,762.2,56.0,46.725024488929655
469.0,160.5,118.31,159.0,12.25,942.0,753.45,7.0,48.8490195127358
425.0,26.0,137.9,159.35,16.1,845.0,812.0,14.0,54.85672210981837
302.0,170.2,167.01,164.9,7.8,853.0,863.0,7.0,68.28642066594313
150.7,19.0,167.01,169.59,7.1,1014.3,782.46,1.0,33.99804486276899
313.3,137.2,174.24,173.8,6.65,986.0,714.3,90.0,41.67810775016274
276.4,116.0,100.39,193.0,3.0,867.0,696.0,28.0,21.311543045795883
167.95,262.2,137.0,147.4,11.66,835.5,696.7,14.0,64.64405173668496
318.0,164.0,91.7,170.17,11.91,1004.6,849.0,3.0,23.930246742942742
397.0,163.0,107.0,210.0,5.69,1061.0,754.0,91.0,62.927179771608195
331.0,132.4,118.27,188.45,10.35,1046.9,772.2,120.0,50.82862058816645
297.16,50.0,121.35,160.7,15.3,961.0,804.01,100.0,19.65555286886888
194.68,161.0,127.9,156.76,8.92,1006.3,749.1,365.0,59.13863508903343
144.8,359.4,182.1,221.0,5.46,977.6,827.0,28.0,65.79844749587382
275.0,121.0,163.83,210.0,8.71,825.1,709.5,28.0,45.24861676997462
147.8,166.0,113.0,140.0,13.93,888.0,784.0,270.0,79.22303598558878
318.8,19.0,124.13,193.3,9.03,832.6,676.0,7.0,29.459774051187715
424.0,102.0,163.27,158.11,16.1,895.2,884.3,28.0,62.372039822214376
203.5,17.2,125.18,178.9,20.0,936.0,861.17,365.0,81.48475838304603
237.5,117.2,125.18,203.5,7.0,978.0,817.0,1.0,19.20320246131964
262.0,129.8,117.54,186.66,5.53,1043.6,709.7,120.0,65.16336984629378
469.0,207.0,143.57,201.3,11.0,870.1,880.4,3.0,66.69669293095068
321.0,100.5,115.6,151.4,2.2,1086.8,623.0,100.0,46.62291347023396
